Category,Service,Price,Duration,Steps
Color,Balayage With Toner,160,120,"['Apply', 'Wait', 'Wash', 'Dry', 'Style']"
Color,"Balayage, Toner With Style",200,150,"['Apply', 'Wait', 'Wash', 'Dry', 'Style']"
Color,Color Single Process,60,60,"['Apply', 'Wait', 'Wash']"
Color,Color Single Process With Style,100,90,"['Apply', 'Wait', 'Wash', 'Style']"
Color,Face Frame Highlights (Accent),40,45,"['Foil', 'Process', 'Wash']"
Color,Face Frame Highlight (Accent) With Style,80,75,"['Foil', 'Process', 'Wash', 'Style']"
Color,Full Highlights,125,120,"['Foil', 'Process', 'Wash', 'Dry']"
Color,Full Highlight With Style,145,135,"['Foil', 'Process', 'Wash', 'Dry', 'Style']"
Color,Eye Brow Tent,15,15,"['Apply', 'Set']"
Haircut,Bang Trim,12,15,['Trim']
Haircut,Children Haircut,20,30,"['Cut', 'Blow-dry']"
Haircut,Haircut Blow-dry,50,45,"['Cut', 'Blow-dry']"
Haircut,Men's Haircut,40,30,"['Cut', 'Style']"
Style,Blow-Dry Style,40,45,"['Wash', 'Dry', 'Style']"
Style,Flat Twist And Spiral Curl,40,60,"['Part', 'Twist', 'Curl']"
Style,Ponytail,40,30,"['Smooth', 'Secure']"
Style,Wash And Set And Flat,65,75,"['Wash', 'Set', 'Flat Iron']"
Treatment,Deep Conditioning,40,30,"['Apply', 'Steam', 'Rinse']"
Treatment,Rejuvenating Treatment,35,30,"['Apply', 'Massage', 'Rinse']"
Treatment,Steam Treatment,25,20,"['Apply', 'Steam']"
Texturizing,Hair Relaxer With Style,80,90,"['Relax', 'Rinse', 'Style']"
Texturizing,Hair Relaxing,60,60,"['Relax', 'Rinse']"
Texturizing,Spiral Perm,65,90,"['Wrap', 'Process', 'Rinse']"
Hair Removal,Chin Wax,10,15,"['Cleanse', 'Wax']"
Hair Removal,Eyebrows Wax,10,15,"['Shape', 'Wax']"
Hair Removal,Lip Wax,10,15,"['Cleanse', 'Wax']"
Hair Removal,Underarms Wax,15,20,"['Cleanse', 'Wax']"
Add-ons,Blow-Dry,35,30,['Dry']
Add-ons,Tone,20,20,"['Apply', 'Rinse']"
